Date	Open	High	Low	Close	Adj Close	Volume
12/12/80	0.513393	0.515625	0.513393	0.513393	0.023357	117258400
12/15/80	0.488839	0.488839	0.486607	0.486607	0.022139	43971200
12/16/80	0.453125	0.453125	0.450893	0.450893	0.020514	26432000
12/17/80	0.462054	0.464286	0.462054	0.462054	0.021022	21610400
12/18/80	0.475446	0.477679	0.475446	0.475446	0.021631	18362400
12/19/80	0.504464	0.506696	0.504464	0.504464	0.022951	12157600
12/22/80	0.529018	0.53125	0.529018	0.529018	0.024068	9340800
12/23/80	0.551339	0.553571	0.551339	0.551339	0.025084	11737600
12/24/80	0.580357	0.582589	0.580357	0.580357	0.026404	12000800
12/26/80	0.633929	0.636161	0.633929	0.633929	0.028841	13893600
12/29/80	0.642857	0.645089	0.642857	0.642857	0.029248	23290400
12/30/80	0.629464	0.629464	0.627232	0.627232	0.028537	17220000
12/31/80	0.611607	0.611607	0.609375	0.609375	0.027724	8937600
1/2/81	0.616071	0.620536	0.616071	0.616071	0.028029	5415200
1/5/81	0.604911	0.604911	0.602679	0.602679	0.02742	8932000
1/6/81	0.578125	0.578125	0.575893	0.575893	0.026201	11289600
1/7/81	0.553571	0.553571	0.551339	0.551339	0.025084	13921600
1/8/81	0.542411	0.542411	0.540179	0.540179	0.024576	9956800
1/9/81	0.569196	0.571429	0.569196	0.569196	0.025896	5376000
1/12/81	0.569196	0.569196	0.564732	0.564732	0.025693	5924800
1/13/81	0.546875	0.546875	0.544643	0.544643	0.024779	5762400
1/14/81	0.546875	0.549107	0.546875	0.546875	0.024881	3572800
1/15/81	0.558036	0.5625	0.558036	0.558036	0.025388	3516800
1/16/81	0.555804	0.555804	0.553571	0.553571	0.025185	3348800
1/19/81	0.587054	0.589286	0.587054	0.587054	0.026709	10393600
1/20/81	0.571429	0.571429	0.569196	0.569196	0.025896	7520800
1/21/81	0.580357	0.584821	0.580357	0.580357	0.026404	3976000
1/22/81	0.587054	0.591518	0.587054	0.587054	0.026709	8887200
1/23/81	0.587054	0.589286	0.584821	0.584821	0.026607	2805600
1/26/81	0.578125	0.578125	0.575893	0.575893	0.026201	6160000
1/27/81	0.575893	0.575893	0.571429	0.571429	0.025998	5924800
1/28/81	0.555804	0.555804	0.553571	0.553571	0.025185	7039200
